,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.9581521881252455,0.521745827582486,0.37405938370336955,0.05466773730420672,0.9581521881252455,0.521745827582486
1,0.9471600885407949,0.4608062308086931,0.8087667127039667,0.6453423139579044,0.9471600885407949,0.4608062308086931
2,0.9532672947997786,0.5334846247058799,0.8358457949797974,0.6584833643735498,0.9532672947997786,0.5334846247058799
3,0.9473287010254177,0.4912136366461064,0.8665728238769291,0.6295804874312715,0.9473287010254177,0.4912136366461064
4,0.9399813758028437,0.4962710833414118,0.861490326374187,0.05680315744999451,0.9399813758028437,0.4962710833414118
5,0.9585214667071098,0.5190865316484712,0.806776423348668,0.6631534098772582,0.9585214667071098,0.5190865316484712
6,0.9490027023236718,0.5945024453759412,0.6661379981398974,0.019772858480239894,0.9490027023236718,0.5945024453759412
7,0.9611101407368756,0.5664721708583,0.8242387460097114,0.661601102679971,0.9611101407368756,0.5664721708583
8,0.9583670880126,0.5475306058712479,0.8788524608071486,0.37088707720744546,0.9583670880126,0.5475306058712479
9,0.961309179327108,0.571528773127387,0.925335702284722,0.4200920070680027,0.961309179327108,0.571528773127387
mean,0.9534200225401446,0.5302641929965924,0.7848076372228396,0.41803835158298447,0.9534200225401446,0.5302641929965924
sem,0.002068579957473496,0.011736200843411669,0.0456440106830329,0.07960168501100755,0.002068579957473496,0.011736200843411669
