,best-auc,best-ap,snooped-auc,snooped-ap,last-auc,last-ap
0,0.9406520661146042,0.9218064512574333,0.9407765223302782,0.9221248492362404,0.9403488587643036,0.9212498415002688
1,0.9364152012154139,0.9164983215612265,0.9367070258305038,0.9165213749220738,0.9367020510709508,0.9164661592929457
2,0.9385553954439861,0.9200682970368818,0.9398055648865627,0.9206533598968721,0.937735718019935,0.9195777094698668
3,0.9361278013287797,0.9149963383052347,0.9361821857982906,0.9163174875449174,0.9356537828810096,0.9138496053556048
4,0.9380974537223201,0.9167306149475676,0.9384258900890036,0.9177973360818548,0.938313600583099,0.9182267456714419
5,0.9388457230357418,0.919923522968858,0.9388457230357418,0.919923522968858,0.9381089443941748,0.9178752833500298
6,0.9376382235074059,0.9177078602082074,0.938319425750021,0.9186630493461656,0.938319425750021,0.9186630493461656
7,0.9372722687845024,0.917371766238726,0.9372722687845024,0.917371766238726,0.9364587784503489,0.9165519783971366
8,0.9386826537159977,0.919609839092977,0.9394241576097185,0.9211694641365428,0.9381882923594344,0.9188964298974303
9,0.9375056786354691,0.919563373471402,0.9375056786354691,0.919563373471402,0.9369363692324695,0.9179616250122091
mean,0.937979246550422,0.9184276385088515,0.9383264442750091,0.9190105583843652,0.9376765821505748,0.9179318427293099
sem,0.0003747716409187404,0.0005957594040894927,0.00041209604683432573,0.0005714778501881618,0.0003751941667276951,0.0005720064674804479
